,frame_count,channel,x,y,w,h,br_x,br_y,mean,max,min
413,207,1,385,356,10,36,395,392,9.77962962962963,163,0
414,208,1,385,356,10,36,395,392,6.727777777777778,41,0
415,208,1,385,356,10,36,395,392,6.727777777777778,41,0
416,209,1,385,356,10,36,395,392,8.864814814814816,195,0
417,209,1,385,356,10,36,395,392,8.864814814814816,195,0
418,210,1,385,356,10,36,395,392,10.266666666666667,182,0
419,210,1,385,356,10,36,395,392,10.266666666666667,182,0
420,211,1,385,356,10,36,395,392,7.2518518518518515,45,0
421,211,1,385,356,10,36,395,392,7.2518518518518515,45,0
422,212,1,385,356,10,36,395,392,4.962962962962963,37,0
423,212,1,385,356,10,36,395,392,4.962962962962963,37,0
424,213,1,385,356,10,36,395,392,4.0,34,0
425,213,1,385,356,10,36,395,392,4.0,34,0
426,214,1,385,356,10,36,395,392,3.164814814814815,16,0
427,214,1,385,356,10,36,395,392,3.164814814814815,16,0
428,215,1,385,356,10,36,395,392,5.275925925925926,208,0
429,215,1,385,356,10,36,395,392,5.275925925925926,208,0
430,216,1,385,356,10,36,395,392,8.033333333333333,161,0
431,216,1,385,356,10,36,395,392,8.033333333333333,161,0
432,217,1,385,356,10,36,395,392,3.5462962962962963,57,0
433,217,1,385,356,10,36,395,392,3.5462962962962963,57,0
434,218,1,385,356,10,36,395,392,11.57037037037037,174,0
435,218,1,385,356,10,36,395,392,11.57037037037037,174,0
436,219,1,385,356,10,36,395,392,8.9,83,0
437,219,1,385,356,10,36,395,392,8.9,83,0
438,220,1,385,356,10,36,395,392,17.312962962962963,152,0
439,220,1,385,356,10,36,395,392,17.312962962962963,152,0
440,221,1,385,356,10,36,395,392,3.3074074074074074,36,0
441,221,1,385,356,10,36,395,392,3.3074074074074074,36,0
442,222,1,385,356,10,36,395,392,2.9851851851851854,29,0
443,222,1,385,356,10,36,395,392,2.9851851851851854,29,0
444,223,1,385,356,10,36,395,392,4.7444444444444445,38,0
445,223,1,385,356,10,36,395,392,4.7444444444444445,38,0
446,224,1,385,356,10,36,395,392,13.298148148148147,188,0
447,224,1,385,356,10,36,395,392,13.298148148148147,188,0
448,225,1,385,356,10,36,395,392,16.616666666666667,219,0
449,225,1,385,356,10,36,395,392,16.616666666666667,219,0
450,226,1,385,356,10,36,395,392,7.242592592592593,59,0
451,226,1,385,356,10,36,395,392,7.242592592592593,59,0
452,227,1,385,356,10,36,395,392,5.7481481481481485,35,0
453,227,1,385,356,10,36,395,392,5.7481481481481485,35,0
454,228,1,385,356,10,36,395,392,5.04074074074074,39,0
455,228,1,385,356,10,36,395,392,5.04074074074074,39,0
456,229,1,385,356,10,36,395,392,3.3944444444444444,21,0
457,229,1,385,356,10,36,395,392,3.3944444444444444,21,0
458,230,1,385,356,10,36,395,392,9.166666666666666,82,0
459,230,1,385,356,10,36,395,392,9.166666666666666,82,0
460,231,1,385,356,10,36,395,392,13.250925925925927,199,0
461,231,1,385,356,10,36,395,392,13.250925925925927,199,0
462,232,1,385,356,10,36,395,392,10.199074074074074,169,0
